date,image_name,total_components,components_kept,components_rejected,retention_rate_pct,area_min,area_median,area_max
21.10,larva_002,1,0,1,0.0,0,0.0,0
21.10,larva_003,1,0,1,0.0,0,0.0,0
21.10,larva_004,4,0,4,0.0,0,0.0,0
21.10,larva_005,1,0,1,0.0,0,0.0,0
21.10,larva_006,1,0,1,0.0,0,0.0,0
21.10,larva_007,1,0,1,0.0,0,0.0,0
21.10,larva_008,1,0,1,0.0,0,0.0,0
21.10,larva_009,1,0,1,0.0,0,0.0,0
21.10,larva_010,1,0,1,0.0,0,0.0,0
21.10,larva_011,1,0,1,0.0,0,0.0,0
21.10,larva_012,1,0,1,0.0,0,0.0,0
21.10,larva_013,1,0,1,0.0,0,0.0,0
21.10,larva_001,1,0,1,0.0,0,0.0,0
21.10,larva_002,1,0,1,0.0,0,0.0,0
21.10,larva_003,1,0,1,0.0,0,0.0,0
21.10,larva_004,1,0,1,0.0,0,0.0,0
21.10,larva_005,2,0,2,0.0,0,0.0,0
21.10,larva_006,1,0,1,0.0,0,0.0,0
21.10,larva_007,1,0,1,0.0,0,0.0,0
21.10,larva_008,1,0,1,0.0,0,0.0,0
21.10,larva_009,1,0,1,0.0,0,0.0,0
21.10,larva_010,1,0,1,0.0,0,0.0,0
21.10,larva_011,1,0,1,0.0,0,0.0,0
21.10,larva_012,6,2,4,33.3,114,203.0,292
21.10,larva_013,1,0,1,0.0,0,0.0,0
21.10,larva_001,1,0,1,0.0,0,0.0,0
21.10,larva_002,1,0,1,0.0,0,0.0,0
21.10,larva_003,1,0,1,0.0,0,0.0,0
21.10,larva_004,1,0,1,0.0,0,0.0,0
21.10,larva_005,1,0,1,0.0,0,0.0,0
21.10,larva_006,1,0,1,0.0,0,0.0,0
21.10,larva_007,1,0,1,0.0,0,0.0,0
21.10,larva_008,1,0,1,0.0,0,0.0,0
21.10,larva_009,2,0,2,0.0,0,0.0,0
21.10,larva_010,1,0,1,0.0,0,0.0,0
24.10,larva_001,1,0,1,0.0,0,0.0,0
24.10,larva_002,4,1,3,25.0,89,89.0,89
24.10,larva_003,1,0,1,0.0,0,0.0,0
24.10,larva_004,1,0,1,0.0,0,0.0,0
24.10,larva_005,1,0,1,0.0,0,0.0,0
24.10,larva_006,1,0,1,0.0,0,0.0,0
24.10,larva_007,1,0,1,0.0,0,0.0,0
24.10,larva_008,1,0,1,0.0,0,0.0,0
24.10,larva_009,2,0,2,0.0,0,0.0,0
24.10,larva_010,1,0,1,0.0,0,0.0,0
24.10,larva_011,1,0,1,0.0,0,0.0,0
24.10,larva_012,1,0,1,0.0,0,0.0,0
24.10,larva_013,1,0,1,0.0,0,0.0,0
24.10,larva_014,1,0,1,0.0,0,0.0,0
24.10,larva_015,1,0,1,0.0,0,0.0,0
24.10,larva_016,1,0,1,0.0,0,0.0,0
24.10,larva_017,1,0,1,0.0,0,0.0,0
24.10,larva_018,1,0,1,0.0,0,0.0,0
24.10,larva_019,1,0,1,0.0,0,0.0,0
24.10,larva_020,1,0,1,0.0,0,0.0,0
24.10,larva_021,1,0,1,0.0,0,0.0,0
24.10,larva_022,1,0,1,0.0,0,0.0,0
24.10,larva_023,1,0,1,0.0,0,0.0,0
24.10,larva_024,1,0,1,0.0,0,0.0,0
24.10,larva_025,1,0,1,0.0,0,0.0,0
24.10,larva_026,1,0,1,0.0,0,0.0,0
24.10,larva_027,1,0,1,0.0,0,0.0,0
24.10,larva_028,2,1,1,50.0,94,94.0,94
24.10,larva_029,1,0,1,0.0,0,0.0,0
24.10,larva_030,1,0,1,0.0,0,0.0,0
24.10,larva_031,1,0,1,0.0,0,0.0,0
24.10,larva_032,1,0,1,0.0,0,0.0,0
24.10,larva_033,1,0,1,0.0,0,0.0,0
24.10,larva_034,1,0,1,0.0,0,0.0,0
24.10,larva_035,1,0,1,0.0,0,0.0,0
24.10,larva_036,1,0,1,0.0,0,0.0,0
24.10,larva_037,1,0,1,0.0,0,0.0,0
24.10,larva_038,1,0,1,0.0,0,0.0,0
24.10,larva_039,1,0,1,0.0,0,0.0,0
24.10,larva_040,1,0,1,0.0,0,0.0,0
24.10,larva_041,1,0,1,0.0,0,0.0,0
24.10,larva_042,1,0,1,0.0,0,0.0,0
24.10,larva_043,1,0,1,0.0,0,0.0,0
24.10,larva_001,2,0,2,0.0,0,0.0,0
24.10,larva_002,4,0,4,0.0,0,0.0,0
24.10,larva_003,1,0,1,0.0,0,0.0,0
24.10,larva_004,1,0,1,0.0,0,0.0,0
24.10,larva_005,1,0,1,0.0,0,0.0,0
24.10,larva_006,1,0,1,0.0,0,0.0,0
24.10,larva_007,1,0,1,0.0,0,0.0,0
25.10,larva_001,1,0,1,0.0,0,0.0,0
25.10,larva_002,1,0,1,0.0,0,0.0,0
25.10,larva_003,1,0,1,0.0,0,0.0,0
25.10,larva_004,1,0,1,0.0,0,0.0,0
25.10,larva_005,1,0,1,0.0,0,0.0,0
25.10,larva_006,2,0,2,0.0,0,0.0,0
25.10,larva_007,1,0,1,0.0,0,0.0,0
25.10,larva_008,1,0,1,0.0,0,0.0,0
25.10,larva_009,1,0,1,0.0,0,0.0,0
25.10,larva_010,1,0,1,0.0,0,0.0,0
25.10,larva_011,1,0,1,0.0,0,0.0,0
25.10,larva_012,1,0,1,0.0,0,0.0,0
25.10,larva_013,1,0,1,0.0,0,0.0,0
25.10,larva_014,1,0,1,0.0,0,0.0,0
25.10,larva_015,1,0,1,0.0,0,0.0,0
25.10,larva_016,1,0,1,0.0,0,0.0,0
25.10,larva_017,1,0,1,0.0,0,0.0,0
25.10,larva_018,1,0,1,0.0,0,0.0,0
25.10,larva_019,1,0,1,0.0,0,0.0,0
25.10,larva_020,1,0,1,0.0,0,0.0,0
25.10,larva_021,1,0,1,0.0,0,0.0,0
25.10,larva_022,1,0,1,0.0,0,0.0,0
25.10,larva_023,1,0,1,0.0,0,0.0,0
25.10,larva_024,1,0,1,0.0,0,0.0,0
25.10,larva_025,1,0,1,0.0,0,0.0,0
25.10,larva_026,1,0,1,0.0,0,0.0,0
25.10,larva_027,1,0,1,0.0,0,0.0,0
25.10,larva_028,2,0,2,0.0,0,0.0,0
25.10,larva_029,1,0,1,0.0,0,0.0,0
25.10,larva_001,1,0,1,0.0,0,0.0,0
25.10,larva_002,4,0,4,0.0,0,0.0,0
25.10,larva_003,1,0,1,0.0,0,0.0,0
25.10,larva_004,1,0,1,0.0,0,0.0,0
25.10,larva_005,1,0,1,0.0,0,0.0,0
25.10,larva_006,1,0,1,0.0,0,0.0,0
25.10,larva_007,2,0,2,0.0,0,0.0,0
25.10,larva_008,1,0,1,0.0,0,0.0,0
25.10,larva_009,1,0,1,0.0,0,0.0,0
25.10,larva_010,1,0,1,0.0,0,0.0,0
25.10,larva_011,1,0,1,0.0,0,0.0,0
25.10,larva_012,1,0,1,0.0,0,0.0,0
25.10,larva_013,1,0,1,0.0,0,0.0,0
25.10,larva_014,1,0,1,0.0,0,0.0,0
